Type_of_well,Well_Depth,Lattitude,Longitude,pH,Eh,Cond,Temp,DO,DOC,HCO3,Cl,NO3,SO4,PO4,NH4,Al,B,Ba,Ca,Fe,K,Mg,Mn,Na,P,S,Si,SiO2,Sr,Zn,Cd,Cr,Cu,Mo,Ni,Pb,As
Shallow,91.5,23.41858,90.94399,6.9,-12.88097924,693,27.2,0,4.158,278.16,97.63,2.42,1.5,6460.4,0,15.73,0.101,0.049,25.23,1.866,18.3,27.94,0.152,77.71,2143.36,0.09,13.19,28.22,0.16,121.24,0,0,0.6894,0,2.9824,0,165.43
Shallow,91.5,23.45919,90.94664,6.8,-44.4857422,538,27.3,0,1.587,146.4,124.61,5.58,6.65,491.2,0,15.69,0.032,0.072,31.54,1.59,4.57,14.95,0.16,64.41,121.21,1.94,21.06,45.05,0.18,51.93,0,0,0.6502,0,0,0,2.6
Shallow,19.8,23.47056,90.93983,7.1,-33.68040196,1073,27.3,0,7.416,351.36,186.73,4.4,2.2,11426.8,0.05,14.22,0.227,0.062,18.92,1.074,18.3,18.97,0.065,188.44,3750.68,0.18,13.77,29.46,0.13,27.51,0,0.9605,33.7119,0,8.1139,0,342.24
Shallow,71.6,23.5025,90.9368,6.9,7.370206111,1005,27.9,0,1.409,67.71,235.12,0.74,3.9,86.1,0.08,16.93,0.038,0.059,31.54,0.834,4.57,14.34,0.566,131.29,26.73,0.15,10.69,22.86,0.12,47.26,0,0,6.0444,0,6.0005,0,2.6
Shallow,114.3,23.48262,91.02436,7.1,9.780288963,815,27.8,0,2.274,424.56,79.88,0.56,3.2,963.1,0,13.81,0.223,0.049,21.03,0.265,3.2,6.71,0.294,194.43,247.29,1.54,13.45,28.77,0.06,207.54,0,0,3.918,0,7.3276,0,2.6
Shallow,22.9,23.48596,90.90293,7,-66.26098212,2980,27.1,0,17.659,644.16,813.31,8.43,2.4,12526,0.11,18.89,0.421,0.123,56.77,3.637,27.45,66.67,0.108,591.51,4061.28,0.41,14.2,30.38,0.42,42.68,0,1.1863,2.8308,0,7.4469,0,249.84
Shallow,26.2,23.47866,90.89435,7.2,-69.45575774,3090,27,0,13.506,409.92,959.92,8.93,4.2,8395.8,0.13,15.85,0.434,0.096,50.48,5.45,32.02,99.8,0.128,532.61,2779.96,0.3,11.07,23.67,0.55,19.61,0,0.8754,1.4407,0,4.3144,0,535.25
Shallow,79.3,23.45462,90.89451,7.2,14.69897356,1142,27.7,0,2.536,375.76,235.37,0.19,3.5,1724,0,38.28,0.312,0.036,12.62,0.422,5.49,3.29,0.021,131.87,494.36,0.07,7.1,15.18,0.02,60.24,0,0,0.9512,0,0,0,12.59
Shallow,27.3,23.50662,90.91072,6.97,-128,1860,29.4,0.32,16.8,427.73,537.42,36.81,0.43,589,0,102.23,0.387,0.04,34.53,3.73,13.08,50.93,0.07,439.79,3998.95,0.37,15.61,33.39,0.4,73.78,0,1.26091,3.49669,0,3.97125,8.45343,460.77
Shallow,29.1,23.51257,90.90732,7.14,-141,1920,29.9,0.16,19.59,411.14,563.19,46.8,0.78,1509,0.71,27.61,0.351,0.03,52.92,0.95,13.9,76.2,0.1,383.1,1364.07,0.32,14.95,31.97,0.51,11.04,0,0.890173,2.15101,0,2.61688,3.04352,542.42
Shallow,30.3,23.50394,90.93749,7.65,-116,1740,29.7,0.27,4.82,304.27,580.92,1.05,22.55,0,19.39,177,0.378,0.03,38.31,2.82,5.24,37,0.31,425.62,2302.36,0.16,14.31,30.62,0.23,33.77,0,0.897422,4.47558,0,3.58527,12.9001,403.82
Deep,257.6,23.56411,91.05645,6.25,-39,4990,30.5,0.24,1.8,58.56,1358.65,3.55,158.65,0,0,122.5,0.362,0.09,244.03,9.27,13.2,213.24,0.87,399.53,273.69,50.98,23.41,50.08,2.03,62.7,0,1.34614,5.25372,0,4.82826,9.61703,8.92
Shallow,50,23.5639,91.05766,6.65,-134,319,31.4,0.16,8.41,127.37,55.84,10.65,3.79,0,0,267.05,0.051,0.05,20.41,5.51,3.35,12.36,0.19,34.76,775.64,0.52,28.3,60.53,0.14,512.6,0,1.056805,4.79174,0,4.07492,10.9897,11.98
Shallow,57.6,23.5624,91.05637,6.6,-134,373,29.9,0.31,2.91,167.14,28.72,9.06,0.31,46,0,218.97,0.029,0.03,27.68,10.31,2.68,24.02,0.32,15.68,904.93,0.08,18.42,39.41,0.24,29.55,0,0.637011,2.23806,0,0,6.49872,53.07
Shallow,27.3,23.56865,91.04143,6.41,-72,780,29.1,0.91,3.46,134.44,143.31,19.99,0.65,0,0,102.71,0.132,0.07,16.12,5.56,3.58,10.7,0.08,111.02,684.99,0.08,19.98,42.75,0.14,89.06,0,0.757587,8.509495,0,4.87499,6.34705,69.41
Shallow,90.9,23.56967,91.03861,6.4,-109,1041,29.5,0.18,4.68,304.02,128.42,24.62,0.05,1222,0,125.32,0.159,0.03,20.53,2.74,8.63,29.56,0.09,138.43,2888.33,0.15,19.58,41.9,0.19,77.4,0,0.956854,3.44355,0,3.95871,7.16808,107.21
